dataset,method,model,split,config,alpha,noise_rate,erasure_rate,runs,attained_runs,N_clean_mean,N_attack_mean,compensation_ratio_mean,compensation_ratio_std
alfworld,rank,deepseek,ID,top5,0.01,0.2,0.2,3,3,20,46.666666666666664,2.3333333333333335,1.4433756729740643
alfworld,rank,deepseek,ID,top5,0.01,0.2,0.3,3,3,20,53.333333333333336,2.6666666666666665,1.2583057392117916
alfworld,rank,deepseek,ID,top5,0.01,0.2,0.5,3,3,20,56.666666666666664,2.8333333333333335,2.0207259421636903
alfworld,rank,deepseek,ID,top5,0.01,0.2,0.7,3,3,20,66.66666666666667,3.3333333333333335,1.4433756729740643
alfworld,rank,deepseek,ID,top5,0.01,0.3,0.0,3,3,20,36.666666666666664,1.8333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top5,0.01,0.3,0.1,3,3,20,50,2.5,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.3,0.2,3,3,20,53.333333333333336,2.6666666666666665,1.2583057392117916
alfworld,rank,deepseek,ID,top5,0.01,0.3,0.3,3,3,20,50,2.5,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.3,0.5,3,3,20,93.33333333333333,4.666666666666667,2.565800719723442
alfworld,rank,deepseek,ID,top5,0.01,0.3,0.7,3,3,20,126.66666666666667,6.333333333333333,2.0207259421636903
alfworld,rank,deepseek,ID,top5,0.01,0.5,0.0,3,0,20,,,
alfworld,rank,deepseek,ID,top5,0.01,0.5,0.1,3,0,20,,,
alfworld,rank,deepseek,ID,top5,0.01,0.5,0.2,3,0,20,,,
alfworld,rank,deepseek,ID,top5,0.01,0.5,0.3,3,0,20,,,
alfworld,rank,deepseek,ID,top5,0.01,0.5,0.5,3,0,20,,,
alfworld,rank,deepseek,ID,top5,0.01,0.5,0.7,3,0,20,,,
alfworld,rank,deepseek,OOD,full_rank,0.01,0.0,0.0,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,OOD,full_rank,0.01,0.0,0.1,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,OOD,full_rank,0.01,0.0,0.2,3,3,13.333333333333334,10,0.8333333333333334,0.28867513459481287
alfworld,rank,deepseek,OOD,full_rank,0.01,0.0,0.3,3,3,13.333333333333334,10,0.8333333333333334,0.28867513459481287
alfworld,rank,deepseek,OOD,full_rank,0.01,0.0,0.5,3,3,13.333333333333334,26.666666666666668,2.1666666666666665,0.7637626158259734
alfworld,rank,deepseek,OOD,full_rank,0.01,0.0,0.7,3,3,13.333333333333334,23.333333333333332,1.8333333333333333,0.28867513459481287
alfworld,rank,deepseek,OOD,full_rank,0.01,0.05,0.0,3,3,13.333333333333334,13.333333333333334,1.1666666666666667,0.7637626158259734
alfworld,rank,deepseek,OOD,full_rank,0.01,0.05,0.1,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,OOD,full_rank,0.01,0.05,0.2,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,OOD,full_rank,0.01,0.05,0.3,3,3,13.333333333333334,20,1.6666666666666667,0.5773502691896257
alfworld,rank,deepseek,OOD,full_rank,0.01,0.05,0.5,3,3,13.333333333333334,20,1.8333333333333333,1.2583057392117916
alfworld,rank,deepseek,OOD,full_rank,0.01,0.05,0.7,3,3,13.333333333333334,26.666666666666668,2.1666666666666665,0.7637626158259734
alfworld,rank,deepseek,OOD,full_rank,0.01,0.1,0.0,3,3,13.333333333333334,20,1.5,0.5
alfworld,rank,deepseek,OOD,full_rank,0.01,0.1,0.1,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,OOD,full_rank,0.01,0.1,0.2,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,OOD,full_rank,0.01,0.1,0.3,3,3,13.333333333333334,26.666666666666668,2.3333333333333335,1.1547005383792515
alfworld,rank,deepseek,OOD,full_rank,0.01,0.1,0.5,3,3,13.333333333333334,60,5.166666666666667,2.753785273643051
alfworld,rank,deepseek,OOD,full_rank,0.01,0.1,0.7,3,3,13.333333333333334,43.333333333333336,3.8333333333333335,2.0207259421636903
alfworld,rank,deepseek,OOD,full_rank,0.01,0.15,0.0,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,OOD,full_rank,0.01,0.15,0.1,3,3,13.333333333333334,20,1.6666666666666667,1.1547005383792515
alfworld,rank,deepseek,OOD,full_rank,0.01,0.15,0.2,3,3,13.333333333333334,43.333333333333336,3.0,1.0
