dataset,method,model,split,channel,payload_len,trajectories,decoded_len_mean,decoded_len_std,bit_match_rate_mean,bit_match_rate_std,payload_recovery_rate,c_nom_proxy_bits,c_eff_proxy_bits,runs
alfworld,rank,gemini-flash,ID,L2_top8_rank,64,420,18.0333,14.427,0.692312,0.224225,0.0,18.0333,0.0,3
alfworld,rank,gemini-flash,ID,L3_top6_rank,8,420,15.8048,12.0921,0.656778,0.225111,0.047619,15.8048,0.752609,3
alfworld,rank,gemini-flash,ID,L3_top6_rank,16,420,15.8048,12.0921,0.656778,0.225111,0.0,15.8048,0.0,3
alfworld,rank,gemini-flash,ID,L3_top6_rank,32,420,15.8048,12.0921,0.656778,0.225111,0.0,15.8048,0.0,3
alfworld,rank,gemini-flash,ID,L3_top6_rank,64,420,15.8048,12.0921,0.656778,0.225111,0.0,15.8048,0.0,3
alfworld,rank,gemini-flash,ID,L4_top4_rank,8,420,15.8048,12.0921,0.605892,0.221616,0.009524,15.8048,0.150525,3
alfworld,rank,gemini-flash,ID,L4_top4_rank,16,420,15.8048,12.0921,0.605892,0.221616,0.002381,15.8048,0.037631,3
alfworld,rank,gemini-flash,ID,L4_top4_rank,32,420,15.8048,12.0921,0.605892,0.221616,0.0,15.8048,0.0,3
alfworld,rank,gemini-flash,ID,L4_top4_rank,64,420,15.8048,12.0921,0.605892,0.221616,0.0,15.8048,0.0,3
alfworld,rank,gemini-flash,ID,L5_top2_rank,8,420,10.15,7.2792,0.59401,0.245789,0.011905,10.15,0.120836,3
alfworld,rank,gemini-flash,ID,L5_top2_rank,16,420,10.15,7.2792,0.59401,0.245789,0.0,10.15,0.0,3
alfworld,rank,gemini-flash,ID,L5_top2_rank,32,420,10.15,7.2792,0.59401,0.245789,0.0,10.15,0.0,3
alfworld,rank,gemini-flash,ID,L5_top2_rank,64,420,10.15,7.2792,0.59401,0.245789,0.0,10.15,0.0,3
alfworld,rank,gemini-flash,ID,L6_selected_only,8,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,gemini-flash,ID,L6_selected_only,16,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,gemini-flash,ID,L6_selected_only,32,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,gemini-flash,ID,L6_selected_only,64,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,gemini-flash,OOD,L0_exact_probs,8,402,17.2239,13.9456,0.978996,0.125846,0.636816,17.2239,10.968455,3
alfworld,rank,gemini-flash,OOD,L0_exact_probs,16,402,17.2239,13.9456,0.978996,0.125846,0.435323,17.2239,7.49796,3
alfworld,rank,gemini-flash,OOD,L0_exact_probs,32,402,17.2239,13.9456,0.978996,0.125846,0.169154,17.2239,2.913492,3
alfworld,rank,gemini-flash,OOD,L0_exact_probs,64,402,17.2239,13.9456,0.978996,0.125846,0.0,17.2239,0.0,3
alfworld,rank,gemini-flash,OOD,L1_top10_rank,8,402,16.995,13.6712,0.732947,0.201531,0.072139,16.995,1.226002,3
alfworld,rank,gemini-flash,OOD,L1_top10_rank,16,402,16.995,13.6712,0.732947,0.201531,0.00995,16.995,0.1691,3
alfworld,rank,gemini-flash,OOD,L1_top10_rank,32,402,16.995,13.6712,0.732947,0.201531,0.0,16.995,0.0,3
